slug;Title;Category;Subcategory
simple-loan-calculator;Simple Loan Calculator;Finance;Mortgage & Real Estate
loan-amortization-calculator;Loan Amortization Schedule Calculator;Finance;Investment
loan-payoff-calculator;Loan Payoff Calculator;Finance;Loans & Debt
dti-ratio-calculator;Debt-to-Income (DTI) Ratio Calculator;Health & Fitness;Diet & Nutrition
personal-loan-calculator;Personal Loan Calculator;Health & Fitness;Diet & Nutrition
apr;APR Calculator;Finance;Loans & Debt
student-loan-calculator;Student Loan Calculator;Lifestyle & Everyday;Time & Date
auto-loan-calculator;Auto Loan Calculator;Math & Conversions;Geometry
auto-lease-calculator;Auto Lease Calculator;Math & Conversions;Measurement Unit Conversions
strike-water-temperature-calculator;strike water temperature calculator;Construction & DIY;Materials Estimation
priming-sugar-calculator-5-gallons;priming sugar calculator 5 gallons;Finance;Business & Small Biz
homebrew-abv-calculator;homebrew abv calculator;Lifestyle & Everyday;Hobbies
ibu-calculator-homebrew;ibu calculator homebrew;Health & Fitness;Diet & Nutrition
srm-beer-color-calculator;srm beer color calculator;Finance;Investment
hydrometer-temperature-correction;hydrometer temperature correction;Math & Conversions;Geometry
yeast-starter-calculator;yeast starter calculator;Math & Conversions;Measurement Unit Conversions
beer-bottling-calculator;beer bottling calculator;Lifestyle & Everyday;Time & Date
strike-water-temperature-calculator;Strike Water Temperature Calculator;Health & Fitness;Health Metrics
priming-sugar-calculator;Priming Sugar Calculator	;Lifestyle & Everyday;Hobbies
abv-calculator        ;ABV (Alcohol By Volume) Calculator	;Math & Conversions;Measurement Unit Conversions
ibu-calculator        ;IBU (International Bitterness Units) Calculator	;Math & Conversions;Core Math & Algebra
srm-calculator        ;SRM (Beer Color) Calculator	;Lifestyle & Everyday;Automotive
hydrometer-temperature-correction-calculator        ;Hydrometer Temperature Correction Calculator	;Lifestyle & Everyday;Automotive
yeast-pitch-rate-calculator        ;Yeast Pitch Rate & Starter Calculator	;Lifestyle & Everyday;Hobbies
mortgage-payment-calculator;Mortgage Payment Calculator;Lifestyle & Everyday;Miscellaneous
how-much-house-can-i-afford;House Affordability Calculator;Lifestyle & Everyday;Time & Date
mortgage-refinance-calculator;Mortgage Refinance Calculator;Health & Fitness;Diet & Nutrition
rent-vs-buy-calculator;Rent vs. Buy Calculator;Lifestyle & Everyday;Miscellaneous
fha-loan-calculator;FHA Loan Calculator;Lifestyle & Everyday;Time & Date
va-loan-calculator;VA Loan Calculator;Finance;Taxes
down-payment-calculator;Down Payment Calculator;Finance;Loans & Debt
mortgage-payoff-calculator;Mortgage Payoff Calculator;Math & Conversions;Core Math & Algebra
heloc-calculator;HELOC Calculator;Math & Conversions;Measurement Unit Conversions
closing-costs-calculator;Closing Costs Calculator;Finance;Business & Small Biz
compound-interest-calculator;Compound Interest Calculator;Finance;Investment
roi-calculator;Investment Return (ROI) Calculator;Finance;Investment
retirement-calculator;Retirement Calculator;Finance;Retirement
401k;401(k) Calculator;Finance;Retirement & Pensions
ira-calculator;IRA Calculator;Finance;Retirement
roth-ira-calculator;Roth IRA Calculator;Finance;Retirement
savings-calculator;Savings Calculator;Math & Conversions;Core Math & Algebra
cd-calculator;CD (Certificate of Deposit) Calculator;Math & Conversions;Core Math & Algebra
annuity-calculator;Annuity Calculator;Math & Conversions;Core Math & Algebra
pension-calculator;Pension Calculator;Finance;Retirement
social-security-calculator;Social Security Calculator;Math & Conversions;Core Math & Algebra
rmd-calculator;RMD (Required Minimum Distribution) Calculator;Math & Conversions;Core Math & Algebra
future-value-calculator;Future Value Calculator;Finance;Investment
present-value-calculator;Present Value Calculator;Math & Conversions;Geometry
stock-calculator;Stock Calculator;Math & Conversions;Measurement Unit Conversions
bond-yield-calculator;Bond Yield Calculator;Math & Conversions;Core Math & Algebra
margin-calculator;Margin Calculator;Math & Conversions;Measurement Unit Conversions
markup-calculator;Markup Calculator;Math & Conversions;Measurement Unit Conversions
break-even-analysis-calculator;Break-Even Point Calculator;Finance;Taxes
business-loan-calculator;Business Loan Calculator;Math & Conversions;Core Math & Algebra
depreciation-calculator;Depreciation Calculator;Finance;Investment
irr-calculator;IRR (Internal Rate of Return) Calculator;Finance;Investment
npv-calculator;NPV (Net Present Value) Calculator;Finance;Investment
sip-calculator;Systematic Investment Plan (SIP) Calculator;Finance;Investment
payback-period-calculator;Payback Period Calculator;Math & Conversions;Measurement Unit Conversions
commission-calculator;Commission Calculator;Finance;Business & Small Biz
seo-roi-calculator;SEO ROI Calculator;Math & Conversions;Measurement Unit Conversions
percentage-calculator;Percentage Calculator;Health & Fitness;Fitness
discount-calculator;Discount Calculator;Lifestyle & Everyday;Hobbies
inflation-calculator;Inflation Calculator;Math & Conversions;Measurement Unit Conversions
currency-converter;Currency Converter;Lifestyle & Everyday;Hobbies
federal-income-tax-calculator-single;Federal Income Tax Calculator (Single);Finance;Mortgage & Real Estate
federal-income-tax-calculator-married-filing-jointly;Federal Income Tax Calculator (Married Filing Jointly);Finance;Mortgage & Real Estate
federal-income-tax-calculator-head-of-household;Federal Income Tax Calculator (Head of Household);Finance;Loans & Debt
w4-withholding-calculator;W-4 Withholding Calculator;Finance;Loans & Debt
paycheck-calculator;Paycheck Calculator;Finance;Loans & Debt
self-employment-tax-calculator;Self-Employment Tax Calculator;Finance;Investment
short-term-capital-gains-tax-calculator;Capital Gains Tax Calculator (Short-Term);Finance;Investment
long-term-capital-gains-tax-calculator;Capital Gains Tax Calculator (Long-Term);Finance;Retirement
amt-calculator;Alternative Minimum Tax (AMT) Calculator;Finance;Retirement
eitc-calculator;Earned Income Tax Credit (EITC) Calculator;Finance;Retirement
child-tax-credit-calculator;Child Tax Credit Calculator;Finance;Retirement
social-security-tax-calculator;Social Security Tax Calculator;Finance;Taxes
medicare-tax-calculator;Medicare Tax Calculator;Finance;Taxes
estate-tax-calculator;Estate Tax Calculator;Finance;Business & Small Biz
gift-tax-calculator;Gift Tax Calculator;Health & Fitness;Diet & Nutrition
alabama-income-tax-calculator;Alabama State Income Tax Calculator;Health & Fitness;Fitness
alaska-income-tax-calculator;Alaska State Income Tax Calculator;Health & Fitness;Fitness
arizona-income-tax-calculator;Arizona State Income Tax Calculator;Health & Fitness;Health Metrics
arkansas-income-tax-calculator;Arkansas State Income Tax Calculator;Health & Fitness;Health Metrics
california-income-tax-calculator;California State Income Tax Calculator;Construction & DIY;Materials Estimation
colorado-income-tax-calculator;Colorado State Income Tax Calculator;Construction & DIY;Materials Estimation
connecticut-income-tax-calculator;Connecticut State Income Tax Calculator;Construction & DIY;Materials Estimation
delaware-income-tax-calculator;Delaware State Income Tax Calculator;Construction & DIY;Materials Estimation
florida-income-tax-calculator;Florida State Income Tax Calculator;Construction & DIY;Materials Estimation
georgia-income-tax-calculator;Georgia State Income Tax Calculator;Construction & DIY;Materials Estimation
hawaii-income-tax-calculator;Hawaii State Income Tax Calculator;Construction & DIY;Materials Estimation
idaho-income-tax-calculator;Idaho State Income Tax Calculator;Construction & DIY;Project Layout & Design
illinois-income-tax-calculator;Illinois State Income Tax Calculator;Construction & DIY;Project Layout & Design
indiana-income-tax-calculator;Indiana State Income Tax Calculator;Construction & DIY;Project Layout & Design
iowa-income-tax-calculator;Iowa State Income Tax Calculator;Construction & DIY;Project Layout & Design
kansas-income-tax-calculator;Kansas State Income Tax Calculator;Lifestyle & Everyday;Automotive
kentucky-income-tax-calculator;Kentucky State Income Tax Calculator;;
louisiana-income-tax-calculator;Louisiana State Income Tax Calculator;;
maine-income-tax-calculator;Maine State Income Tax Calculator;;
maryland-income-tax-calculator;Maryland State Income Tax Calculator;;
massachusetts-income-tax-calculator;Massachusetts State Income Tax Calculator;;
michigan-income-tax-calculator;Michigan State Income Tax Calculator;;
minnesota-income-tax-calculator;Minnesota State Income Tax Calculator;;
mississippi-income-tax-calculator;Mississippi State Income Tax Calculator;;
missouri-income-tax-calculator;Missouri State Income Tax Calculator;;
montana-income-tax-calculator;Montana State Income Tax Calculator;;
nebraska-income-tax-calculator;Nebraska State Income Tax Calculator;;
nevada-income-tax-calculator;Nevada State Income Tax Calculator;;
new-hampshire-income-tax-calculator;New Hampshire State Income Tax Calculator;;
new-jersey-income-tax-calculator;New Jersey State Income Tax Calculator;;
new-mexico-income-tax-calculator;New Mexico State Income Tax Calculator;;
new-york-income-tax-calculator;New York State Income Tax Calculator;;
north-carolina-income-tax-calculator;North Carolina State Income Tax Calculator;;
north-dakota-income-tax-calculator;North Dakota State Income Tax Calculator;;
ohio-income-tax-calculator;Ohio State Income Tax Calculator;;
oklahoma-income-tax-calculator;Oklahoma State Income Tax Calculator;;
oregon-income-tax-calculator;Oregon State Income Tax Calculator;;
pennsylvania-income-tax-calculator;Pennsylvania State Income Tax Calculator;;
