order,name,url,local_path
1,"Washington State Income Tax Calculator (with Federal)",https://calcdomain.com/washington-income-tax.html,sito_modificato/washington-income-tax.html
2,"Millimeters to Inches (mm to in) Converter",https://calcdomain.com/mm-to-inches.html,sito_modificato/mm-to-inches.html
3,"Typography Converter (Fancy Text &amp; CSS Units)",https://calcdomain.com/typography-converter.html,sito_modificato/typography-converter.html
4,"BTU to Joules Converter – BTU to J and J to BTU",https://calcdomain.com/btu-to-joules-converter.html,sito_modificato/btu-to-joules-converter.html
5,"Pediatric Growth Chart Calculator with Guidelines | CalcDomain",https://calcdomain.com/growth-chart.html,sito_modificato/growth-chart.html
6,"Function Calculator: Evaluate, Tabulate &amp; Plot f(x) | CalcDomain",https://calcdomain.com/function-calculator.html,sito_modificato/function-calculator.html
7,"Pascals to Bar Converter – Pa to bar and bar to Pa",https://calcdomain.com/pascals-to-bar-converter.html,sito_modificato/pascals-to-bar-converter.html
8,"Project ROI Calculator",https://calcdomain.com/project-roi.html,sito_modificato/project-roi.html
9,"Euler’s Totient Function Calculator – φ(n), Prime Factorization &amp; Coprime Integers",https://calcdomain.com/euler-s-totient-function-calculator.html,sito_modificato/euler-s-totient-function-calculator.html
10,"Rock Paper Scissors Simulator",https://calcdomain.com/rock-paper-scissors-simulator.html,sito_modificato/rock-paper-scissors-simulator.html
11,"Dog Calorie Calculator",https://calcdomain.com/dog-calorie.html,sito_modificato/dog-calorie.html
12,"Land Transfer Tax Calculator (by State/Province)",https://calcdomain.com/land-transfer-tax.html,sito_modificato/land-transfer-tax.html
13,"Australia Income Tax Calculator",https://calcdomain.com/australian-tax-brackets-and-rates-for-residents-2025-26-medicare-levy-and-surcharge-low-income-tax-offset-calculating-your-tax-payable-faqs.html,sito_modificato/australian-tax-brackets-and-rates-for-residents-2025-26-medicare-levy-and-surcharge-low-income-tax-offset-calculating-your-tax-payable-faqs.html
14,"Wind Turbine Foundation Design Calculator",https://calcdomain.com/wind-turbine-foundation.html,sito_modificato/wind-turbine-foundation.html
15,"Stock Calculator",https://calcdomain.com/stock.html,sito_modificato/stock.html
16,"Reverse Sales Tax Calculator",https://calcdomain.com/reverse-sales-tax.html,sito_modificato/reverse-sales-tax.html
17,"GCF Calculator – Greatest Common Factor of 2 or More Numbers",https://calcdomain.com/gcf.html,sito_modificato/gcf.html
18,"Hawaii State Income Tax Calculator",https://calcdomain.com/hawaii-income-tax.html,sito_modificato/hawaii-income-tax.html
19,"California State Income Tax Calculator | CalcDomain",https://calcdomain.com/california-income-tax.html,sito_modificato/california-income-tax.html
20,"Rads to Grays Converter",https://calcdomain.com/rad-to-gray.html,sito_modificato/rad-to-gray.html
21,"t-test Calculator | One-Sample, Independent, Paired",https://calcdomain.com/t-test.html,sito_modificato/t-test.html
22,"Prime Factorization Calculator – Factor Numbers into Prime Factors",https://calcdomain.com/prime-factorization.html,sito_modificato/prime-factorization.html
23,"A* Search Algorithm Calculator",https://calcdomain.com/a-search-calculator.html,sito_modificato/a-search-calculator.html
24,"Position Size Calculator",https://calcdomain.com/position-size.html,sito_modificato/position-size.html
25,"Rafter Length Calculator | Framing &amp; Roofing Tool",https://calcdomain.com/rafter.html,sito_modificato/rafter.html
26,"Missouri Local Earnings Tax Calculator",https://calcdomain.com/missouri-local-earnings-tax.html,sito_modificato/missouri-local-earnings-tax.html
27,"Eurocode 7 Sliding Resistance Calculator",https://calcdomain.com/eurocode-7-sliding-resistance.html,sito_modificato/eurocode-7-sliding-resistance.html
28,"Reaction Time Test",https://calcdomain.com/reaction-time-test.html,sito_modificato/reaction-time-test.html
29,"Euler’s Method Calculator – Numerical Solution of y′ = f(x, y)",https://calcdomain.com/euler-s-method-calculator.html,sito_modificato/euler-s-method-calculator.html
30,"Medicare Levy Surcharge Calculator",https://calcdomain.com/what-is-the-medicare-levy-surcharge-calculating-the-surcharge-for-high-income-earners-without-private-health-insurance-income-thresholds-faqs.html,sito_modificato/what-is-the-medicare-levy-surcharge-calculating-the-surcharge-for-high-income-earners-without-private-health-insurance-income-thresholds-faqs.html
31,"Correlation Coefficient Calculator (Pearson’s r)",https://calcdomain.com/correlation-coefficient.html,sito_modificato/correlation-coefficient.html
32,"Irrigation Water Requirement Calculator",https://calcdomain.com/irrigation.html,sito_modificato/irrigation.html
33,"COCOMO Model Calculator",https://calcdomain.com/cocomo.html,sito_modificato/cocomo.html
34,"Kilograms to Pounds (kg to lbs) Converter",https://calcdomain.com/kg-to-lbs.html,sito_modificato/kg-to-lbs.html
35,"Smoking Cost Calculator",https://calcdomain.com/smoking-cost.html,sito_modificato/smoking-cost.html
36,"Free Water Deficit Calculator",https://calcdomain.com/free-water-deficit.html,sito_modificato/free-water-deficit.html
37,"Saffir-Simpson Hurricane Wind Scale Calculator",https://calcdomain.com/saffir-simpson-scale.html,sito_modificato/saffir-simpson-scale.html
38,"529 Plan vs. UTMA/UGMA Calculator",https://calcdomain.com/529-vs-utma.html,sito_modificato/529-vs-utma.html
39,"Seismic Wave Travel Time Calculator",https://calcdomain.com/seismic-wave-travel-time.html,sito_modificato/seismic-wave-travel-time.html
40,"Kendall's Tau Correlation Calculator",https://calcdomain.com/kendalls-tau.html,sito_modificato/kendalls-tau.html
41,"Percent Yield Calculator | Chemistry",https://calcdomain.com/percent-yield.html,sito_modificato/percent-yield.html
42,"Azimuth and Bearing Converter",https://calcdomain.com/azimuth-bearing-converter.html,sito_modificato/azimuth-bearing-converter.html
43,"Implied Volatility Calculator",https://calcdomain.com/implied-volatility.html,sito_modificato/implied-volatility.html
44,"Eurocode 1 Imposed Loads on Buildings Calculator",https://calcdomain.com/eurocode-1-imposed-loads.html,sito_modificato/eurocode-1-imposed-loads.html
45,"Sodium Correction for Hyperglycemia Calculator",https://calcdomain.com/corrected-sodium.html,sito_modificato/corrected-sodium.html
46,"Gravel Calculator | Construction Materials Volume and Weight",https://calcdomain.com/gravel.html,sito_modificato/gravel.html
47,"Confidence Interval Calculator | Math • Statistics &amp; Probability",https://calcdomain.com/confidence-interval.html,sito_modificato/confidence-interval.html
48,"kWh to Megajoules Converter – kWh to MJ and MJ to kWh",https://calcdomain.com/kwh-to-megajoules-converter.html,sito_modificato/kwh-to-megajoules-converter.html
49,"Triangular Prism Volume Calculator – Right &amp; Oblique Prisms",https://calcdomain.com/triangular-prism-volume.html,sito_modificato/triangular-prism-volume.html
50,"Decimal to Time Converter",https://calcdomain.com/decimal-to-time.html,sito_modificato/decimal-to-time.html
51,"Salary Calculator India",https://calcdomain.com/calculating-your-net-salary-from-ctc-cost-to-company-deductions-pf-esi-professional-tax-tds-understanding-your-payslip-faqs.html,sito_modificato/calculating-your-net-salary-from-ctc-cost-to-company-deductions-pf-esi-professional-tax-tds-understanding-your-payslip-faqs.html
52,"Geotechnical Design Calculators | CalcDomain",https://calcdomain.com/civil-geotechnical.html,sito_modificato/civil-geotechnical.html
53,"Taylor Series Calculator – Taylor Polynomial Approximation",https://calcdomain.com/taylor-series.html,sito_modificato/taylor-series.html
54,"Iowa State Income Tax Calculator",https://calcdomain.com/iowa-income-tax.html,sito_modificato/iowa-income-tax.html
55,"Business Finance &amp; Ratios | CalcDomain Finance",https://calcdomain.com/business-finance-and-ratios.html,sito_modificato/business-finance-and-ratios.html
56,"Mass-Energy Equivalence Calculator (E=mc²)",https://calcdomain.com/e-mc2.html,sito_modificato/e-mc2.html
57,"Disability Insurance Calculator",https://calcdomain.com/disability-insurance.html,sito_modificato/disability-insurance.html
58,"dBm to Watts Converter",https://calcdomain.com/dbm-to-watts.html,sito_modificato/dbm-to-watts.html
59,"Tennessee State Income Tax Calculator | CalcDomain",https://calcdomain.com/tennessee-income-tax.html,sito_modificato/tennessee-income-tax.html
60,"Inverse Kinematics Calculator (2R Manipulator)",https://calcdomain.com/inverse-kinematics.html,sito_modificato/inverse-kinematics.html
61,"Matrix Rank Calculator – Row Echelon Form &amp; Linear Independence",https://calcdomain.com/matrix-rank.html,sito_modificato/matrix-rank.html
62,"Indiana State Income Tax Calculator | CalcDomain",https://calcdomain.com/indiana-income-tax.html,sito_modificato/indiana-income-tax.html
63,"Salary Increase Percentage Calculator",https://calcdomain.com/salary-increase.html,sito_modificato/salary-increase.html
64,"Kelly Criterion Calculator",https://calcdomain.com/kelly-criterion.html,sito_modificato/kelly-criterion.html
65,"Building Energy Performance Calculator",https://calcdomain.com/building-energy.html,sito_modificato/building-energy.html
66,"Centimeters to Inches (cm to in) Converter",https://calcdomain.com/cm-to-inches.html,sito_modificato/cm-to-inches.html
67,"Lensmaker's Equation Calculator",https://calcdomain.com/lensmaker-s-equation.html,sito_modificato/lensmaker-s-equation.html
68,"Kruskal–Wallis Test Calculator – Nonparametric One-Way ANOVA",https://calcdomain.com/kruskal-wallis-test.html,sito_modificato/kruskal-wallis-test.html
69,"International Fisher Effect (IFE) Calculator",https://calcdomain.com/international-fisher-effect.html,sito_modificato/international-fisher-effect.html
70,"Pounds to Kilograms (lbs to kg) Converter",https://calcdomain.com/lbs-to-kg.html,sito_modificato/lbs-to-kg.html
71,"Quebec Provincial Tax Calculator",https://calcdomain.com/quebec-tax.html,sito_modificato/quebec-tax.html
72,"Spearman's Rank Correlation Calculator (ρ) – Ranked Data &amp; d² Table",https://calcdomain.com/spearmans-rank-correlation.html,sito_modificato/spearmans-rank-correlation.html
73,"Dijkstra's Algorithm Calculator – Shortest Path on Weighted Graphs",https://calcdomain.com/dijkstra-s-algorithm-calculator.html,sito_modificato/dijkstra-s-algorithm-calculator.html
74,"Spacecraft Trajectory Planner",https://calcdomain.com/spacecraft-trajectory-planner.html,sito_modificato/spacecraft-trajectory-planner.html
75,"BTU to kWh Converter (and BTU/hr to kW)",https://calcdomain.com/btu-to-kwh.html,sito_modificato/btu-to-kwh.html
76,"US Federal Taxes | CalcDomain Finance",https://calcdomain.com/us-federal-taxes.html,sito_modificato/us-federal-taxes.html
77,"Solid Geometry Calculator: Volume &amp; Surface Area for 3D Shapes | CalcDomain",https://calcdomain.com/solid-geometry-calculator.html,sito_modificato/solid-geometry-calculator.html
78,"Oregon Local Income Tax Calculator",https://calcdomain.com/oregon-local-income-tax.html,sito_modificato/oregon-local-income-tax.html
79,"Discounted Cash Flow (DCF) Calculator (FCFE)",https://calcdomain.com/dcf-equity.html,sito_modificato/dcf-equity.html
80,"Diffie–Hellman Key Exchange Calculator – Educational Tool",https://calcdomain.com/diffie-hellman.html,sito_modificato/diffie-hellman.html
81,"Eurocode 2 Concrete Beam Flexural Design Calculator | CalcDomain",https://calcdomain.com/eurocode-2-beam-design.html,sito_modificato/eurocode-2-beam-design.html
82,"Discounted Cash Flow (DCF) Calculator (FCFF)",https://calcdomain.com/dcf.html,sito_modificato/dcf.html
83,"Angstroms to Nanometers (Å to nm) Converter",https://calcdomain.com/angstrom-to-nm.html,sito_modificato/angstrom-to-nm.html
84,"Bandwidth Calculator — Estimate Internet Speed Needs &amp; File Transfer Time",https://calcdomain.com/bandwidth-calculator.html,sito_modificato/bandwidth-calculator.html
85,"Rankine Cycle Calculator",https://calcdomain.com/rankine-cycle.html,sito_modificato/rankine-cycle.html
86,"Manning's Equation Calculator",https://calcdomain.com/manning-s-equation-calculator.html,sito_modificato/manning-s-equation-calculator.html
87,"IP Address Subnet Calculator",https://calcdomain.com/subnet.html,sito_modificato/subnet.html
88,"Köppen Climate Classification Calculator",https://calcdomain.com/koppen-climate.html,sito_modificato/koppen-climate.html
89,"Sustainable Growth Rate (SGR) Calculator",https://calcdomain.com/sustainable-growth-rate.html,sito_modificato/sustainable-growth-rate.html
90,"Overtime Pay Calculator",https://calcdomain.com/overtime.html,sito_modificato/overtime.html
91,"Affine Cipher Encoder/Decoder",https://calcdomain.com/affine-cipher.html,sito_modificato/affine-cipher.html
92,"Surface Area Calculator – cube, box, sphere, cylinder, cone &amp; more",https://calcdomain.com/surface-area-calculator.html,sito_modificato/surface-area-calculator.html
93,"qSOFA (Quick SOFA) Score Calculator",https://calcdomain.com/qsofa.html,sito_modificato/qsofa.html
94,"Matrix Calculator (Addition, Multiplication, Inverse, etc.) | CalcDomain",https://calcdomain.com/matrix-calculator.html,sito_modificato/matrix-calculator.html
95,"Earned Income Tax Credit (EITC) Calculator",https://calcdomain.com/eitc.html,sito_modificato/eitc.html
96,"Punnett Square Calculator | Science › Biology",https://calcdomain.com/punnett-square.html,sito_modificato/punnett-square.html
97,"Self-Directed IRA Real Estate Calculator",https://calcdomain.com/self-directed-ira-real-estate.html,sito_modificato/self-directed-ira-real-estate.html
