slug,Title,Category (Main),Subcategory
simple-loan-calculator,Simple Loan Calculator,Finance,Loans & Debt
loan-amortization,Loan Amortization Schedule Calculator,Finance,Loans & Debt
loan-payoff-calculator,Loan Payoff Calculator,Finance,Loans & Debt
dti-ratio,Debt-to-Income (DTI) Ratio Calculator,Finance,Loans & Debt
personal-loan-calculator,Personal Loan Calculator,Finance,Loans & Debt
apr-calculator,APR Calculator,Finance,Loans & Debt
debt-consolidation-calculator,Debt Consolidation Calculator,Finance,Loans & Debt
student-loan-calculator,Student Loan Calculator,Finance,Loans & Debt
auto-loan-calculator,Auto Loan Calculator,Finance,Loans & Debt
auto-lease-calculator,Auto Lease Calculator,Finance,Loans & Debt
strike-water-temperature-calculator,Strike Water Temperature Calculator,Lifestyle & Everyday,Miscellaneous
priming-sugar,Priming Sugar Calculator	,Lifestyle & Everyday,Hobbies
abv,ABV (Alcohol By Volume) Calculator	,Math & Conversions,Geometry
ibu-calculator        ,IBU (International Bitterness Units) Calculator	,Lifestyle & Everyday,Hobbies
srm-calculator        ,SRM (Beer Color) Calculator        ,Lifestyle & Everyday,Hobbies
yeast-pitch-rate-calculator        ,Yeast Pitch Rate & Starter Calculator	,Lifestyle & Everyday,Hobbies
mortgage-payment,Mortgage Payment Calculator,Finance,Mortgage & Real Estate
house-affordability,House Affordability Calculator,Finance,Mortgage & Real Estate
mortgage-refinance,Mortgage Refinance Calculator,Finance,Mortgage & Real Estate
rent-vs-buy-calculator,Rent vs. Buy Calculator,Lifestyle & Everyday,Miscellaneous
fha-loan-calculator,FHA Loan Calculator,Finance,Loans & Debt
va-loan-calculator,VA Loan Calculator,Finance,Loans & Debt
down-payment,Down Payment Calculator,Finance,Mortgage & Real Estate
mortgage-payoff,Mortgage Payoff Calculator,Finance,Mortgage & Real Estate
heloc,HELOC Calculator,Finance,Mortgage & Real Estate
closing-costs,Closing Costs Calculator,Finance,Mortgage & Real Estate
compound-interest-calculator,Compound Interest Calculator,Finance,Investment
roi,Investment Return (ROI) Calculator,Finance,Investment
retirement-calculator,Retirement Calculator,Finance,Retirement
401k-calculator,401(k) Calculator,Finance,Retirement
ira-calculator,IRA Calculator,Finance,Retirement
roth-ira-calculator,Roth IRA Calculator,Finance,Retirement
savings-calculator,Savings Calculator,Finance,Investment
cd-calculator,CD (Certificate of Deposit) Calculator,Finance,Investment
annuity-calculator,Annuity Calculator,Finance,Retirement
pension,Pension Calculator,Finance,Retirement
social-security-calculator,Social Security Calculator,Finance,Retirement
rmd-calculator,RMD (Required Minimum Distribution) Calculator,Finance,Retirement
future-value-calculator,Future Value Calculator,Finance,Investment
present-value-calculator,Present Value Calculator,Finance,Investment
stock-calculator,Stock Calculator,Finance,Investment
bond-yield-calculator,Bond Yield Calculator,Finance,Investment
margin-calculator,Margin Calculator,Finance,Investment
markup-calculator,Markup Calculator,Finance,Business & Small Biz
break-even-analysis-calculator,Break-Even Point Calculator,Finance,Business & Small Biz
business-loan-calculator,Business Loan Calculator,Finance,Loans & Debt
depreciation-calculator,Depreciation Calculator,Finance,Business & Small Biz
irr,IRR (Internal Rate of Return) Calculator,Finance,Investment
npv,NPV (Net Present Value) Calculator,Finance,Investment
payback-period,Payback Period Calculator,Finance,Investment
commission-calculator,Commission Calculator,Finance,Business & Small Biz
seo-roi-calculator,SEO ROI Calculator,Finance,Investment
percentage-calculator,Percentage Calculator,Math & Conversions,Core Math & Algebra
discount,Discount Calculator,Math & Conversions,Core Math & Algebra
inflation,Inflation Calculator,Lifestyle & Everyday,Miscellaneous
currency-converter,Currency Converter,Math & Conversions,Measurement Unit Conversions
federal-income-tax-calculator-single,Federal Income Tax Calculator (Single),Finance,Taxes
