slug,file,status,forbidden,notes
529-vs-utma,/home/uc/Projects/calcdomain2/sito_modificato/529-vs-utma.html,WARN,"Investopedia","Injected audit spine into main ; Forbidden detected: Investopedia"
absi,/home/uc/Projects/calcdomain2/sito_modificato/absi.html,WARN,"OmniCalculator","Injected audit spine into body ; Forbidden detected: OmniCalculator"
arrhenius-equation,/home/uc/Projects/calcdomain2/sito_modificato/arrhenius-equation.html,WARN,"OmniCalculator","Injected audit spine into main ; Forbidden detected: OmniCalculator"
batting-average,/home/uc/Projects/calcdomain2/sito_modificato/batting-average.html,WARN,"OmniCalculator","Injected audit spine into body ; Forbidden detected: OmniCalculator"
beam-deflection,/home/uc/Projects/calcdomain2/sito_modificato/beam-deflection.html,WARN,"OmniCalculator","Injected audit spine into main ; Forbidden detected: OmniCalculator"
biorhythm,/home/uc/Projects/calcdomain2/sito_modificato/biorhythm.html,WARN,"Calculator.net","Injected audit spine into article ; Forbidden detected: Calculator.net"
blog,/home/uc/Projects/calcdomain2/sito_modificato/blog.html,WARN,"Investopedia","Injected audit spine into article ; Forbidden detected: Investopedia ; Missing formulas (review needed)"
brewster-s-angle-calculator,/home/uc/Projects/calcdomain2/sito_modificato/brewster-s-angle-calculator.html,WARN,"OmniCalculator","Injected audit spine into body ; Forbidden detected: OmniCalculator ; Missing sources (review needed)"
cake-pan-converter,/home/uc/Projects/calcdomain2/sito_modificato/cake-pan-converter.html,WARN,"OmniCalculator","Injected audit spine into body ; Forbidden detected: OmniCalculator"
cap-rate,/home/uc/Projects/calcdomain2/sito_modificato/cap-rate.html,WARN,"OmniCalculator","Injected audit spine into main ; Forbidden detected: OmniCalculator ; Missing sources (review needed)"
capital-structure-optimization,/home/uc/Projects/calcdomain2/sito_modificato/capital-structure-optimization.html,WARN,"Investopedia","Injected audit spine into main ; Forbidden detected: Investopedia"
capm,/home/uc/Projects/calcdomain2/sito_modificato/capm.html,WARN,"OmniCalculator","Injected audit spine into main ; Forbidden detected: OmniCalculator ; Missing sources (review needed)"
cash-conversion-cycle,/home/uc/Projects/calcdomain2/sito_modificato/cash-conversion-cycle.html,WARN,"Investopedia","Injected audit spine into main ; Forbidden detected: Investopedia"
cat-age,/home/uc/Projects/calcdomain2/sito_modificato/cat-age.html,WARN,"OmniCalculator","Injected audit spine into main ; Forbidden detected: OmniCalculator"
centripetal-force,/home/uc/Projects/calcdomain2/sito_modificato/centripetal-force.html,WARN,"OmniCalculator","Injected audit spine into article ; Forbidden detected: OmniCalculator"
cholesterol-calculator,/home/uc/Projects/calcdomain2/sito_modificato/cholesterol-calculator.html,WARN,"OmniCalculator","Injected audit spine into article ; Forbidden detected: OmniCalculator"
chord-calculator,/home/uc/Projects/calcdomain2/sito_modificato/chord-calculator.html,WARN,"OmniCalculator","Injected audit spine into main ; Forbidden detected: OmniCalculator ; Missing sources (review needed)"
commercial-lease,/home/uc/Projects/calcdomain2/sito_modificato/commercial-lease.html,WARN,"OmniCalculator","Injected audit spine into article ; Forbidden detected: OmniCalculator ; Missing sources (review needed)"
compton-scattering,/home/uc/Projects/calcdomain2/sito_modificato/compton-scattering.html,WARN,"OmniCalculator","Injected audit spine into main ; Forbidden detected: OmniCalculator ; Missing sources (review needed)"
covariance,/home/uc/Projects/calcdomain2/sito_modificato/covariance.html,WARN,"Investopedia","Injected audit spine into article ; Forbidden detected: Investopedia"
cycle-time,/home/uc/Projects/calcdomain2/sito_modificato/cycle-time.html,WARN,"OmniCalculator","Injected audit spine into main ; Forbidden detected: OmniCalculator"
cyclomatic-complexity,/home/uc/Projects/calcdomain2/sito_modificato/cyclomatic-complexity.html,WARN,"OmniCalculator","Injected audit spine into main ; Forbidden detected: OmniCalculator ; Missing sources (review needed)"
darcys-law,/home/uc/Projects/calcdomain2/sito_modificato/darcys-law.html,WARN,"OmniCalculator","Injected audit spine into main ; Forbidden detected: OmniCalculator ; Missing sources (review needed)"
days-of-inventory-on-hand,/home/uc/Projects/calcdomain2/sito_modificato/days-of-inventory-on-hand.html,WARN,"OmniCalculator","Injected audit spine into main ; Forbidden detected: OmniCalculator ; Missing sources (review needed)"
diffraction-grating,/home/uc/Projects/calcdomain2/sito_modificato/diffraction-grating.html,WARN,"OmniCalculator","Injected audit spine into body ; Forbidden detected: OmniCalculator"
dividend-yield,/home/uc/Projects/calcdomain2/sito_modificato/dividend-yield.html,WARN,"OmniCalculator","Injected audit spine into main ; Forbidden detected: OmniCalculator"
drug-half-life,/home/uc/Projects/calcdomain2/sito_modificato/drug-half-life.html,WARN,"OmniCalculator","Injected audit spine into main ; Forbidden detected: OmniCalculator ; Missing sources (review needed)"
dupont-analysis,/home/uc/Projects/calcdomain2/sito_modificato/dupont-analysis.html,WARN,"Investopedia","Injected audit spine into main ; Forbidden detected: Investopedia"
e-mc2,/home/uc/Projects/calcdomain2/sito_modificato/e-mc2.html,WARN,"OmniCalculator","Injected audit spine into main ; Forbidden detected: OmniCalculator ; Missing sources (review needed)"
employee-stock-option,/home/uc/Projects/calcdomain2/sito_modificato/employee-stock-option.html,WARN,"Investopedia","Injected audit spine into main ; Forbidden detected: Investopedia"
eps,/home/uc/Projects/calcdomain2/sito_modificato/eps.html,WARN,"OmniCalculator","Injected audit spine into body ; Forbidden detected: OmniCalculator ; Missing sources (review needed)"
eva,/home/uc/Projects/calcdomain2/sito_modificato/eva.html,WARN,"OmniCalculator","Injected audit spine into main ; Forbidden detected: OmniCalculator ; Missing sources (review needed)"
exoplanet-transit,/home/uc/Projects/calcdomain2/sito_modificato/exoplanet-transit.html,WARN,"OmniCalculator","Injected audit spine into body ; Forbidden detected: OmniCalculator ; Missing sources (review needed)"
fcfe,/home/uc/Projects/calcdomain2/sito_modificato/fcfe.html,WARN,"OmniCalculator","Injected audit spine into main ; Forbidden detected: OmniCalculator ; Missing sources (review needed)"
fcff,/home/uc/Projects/calcdomain2/sito_modificato/fcff.html,WARN,"OmniCalculator","Injected audit spine into main ; Forbidden detected: OmniCalculator ; Missing sources (review needed)"
fuel-cost,/home/uc/Projects/calcdomain2/sito_modificato/fuel-cost.html,WARN,"Calculator.net","Injected audit spine into main ; Forbidden detected: Calculator.net"
gibbs-free-energy,/home/uc/Projects/calcdomain2/sito_modificato/gibbs-free-energy.html,WARN,"OmniCalculator","Injected audit spine into article ; Forbidden detected: OmniCalculator"
herons-formula,/home/uc/Projects/calcdomain2/sito_modificato/herons-formula.html,WARN,"OmniCalculator","Injected audit spine into main ; Forbidden detected: OmniCalculator"
hhi,/home/uc/Projects/calcdomain2/sito_modificato/hhi.html,WARN,"OmniCalculator","Injected audit spine into main ; Forbidden detected: OmniCalculator ; Missing sources (review needed)"
hubble-s-law-calculator,/home/uc/Projects/calcdomain2/sito_modificato/hubble-s-law-calculator.html,WARN,"OmniCalculator","Injected audit spine into body ; Forbidden detected: OmniCalculator"
interest-coverage-ratio,/home/uc/Projects/calcdomain2/sito_modificato/interest-coverage-ratio.html,WARN,"OmniCalculator","Injected audit spine into main ; Forbidden detected: OmniCalculator ; Missing sources (review needed)"
