slug,file,status,reason,notes
1031-exchange,/home/uc/Projects/calcdomain2/sito_modificato/1031-exchange.html,WARN,MISSING_FORMULAS,"Injected audit spine into article ; Missing formulas (review needed)"
15-vs-30-year-mortgage,/home/uc/Projects/calcdomain2/sito_modificato/15-vs-30-year-mortgage.html,WARN,MISSING_FORMULAS,"Injected audit spine into article ; Missing formulas (review needed)"
2d-frame-analysis,/home/uc/Projects/calcdomain2/sito_modificato/2d-frame-analysis.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
5-whys,/home/uc/Projects/calcdomain2/sito_modificato/5-whys.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
529-vs-utma,/home/uc/Projects/calcdomain2/sito_modificato/529-vs-utma.html,WARN,FORBIDDEN_DETECTED,"Injected audit spine into main ; Forbidden detected: Investopedia"
70-rule,/home/uc/Projects/calcdomain2/sito_modificato/70-rule.html,WARN,MISSING_FORMULAS,"Injected audit spine into main ; Missing formulas (review needed)"
about,/home/uc/Projects/calcdomain2/sito_modificato/about.html,WARN,MISSING_FORMULAS,"Injected audit spine into main ; Missing formulas (review needed)"
absenteeism-rate,/home/uc/Projects/calcdomain2/sito_modificato/absenteeism-rate.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
absi,/home/uc/Projects/calcdomain2/sito_modificato/absi.html,WARN,FORBIDDEN_DETECTED,"Injected audit spine into body ; Forbidden detected: OmniCalculator"
accessibility,/home/uc/Projects/calcdomain2/sito_modificato/accessibility.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
acres-to-square-feet,/home/uc/Projects/calcdomain2/sito_modificato/acres-to-square-feet.html,WARN,MISSING_SOURCES,"Injected audit spine into article ; Missing sources (review needed)"
adjacency-list,/home/uc/Projects/calcdomain2/sito_modificato/adjacency-list.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
adjacency-matrix,/home/uc/Projects/calcdomain2/sito_modificato/adjacency-matrix.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
ahp,/home/uc/Projects/calcdomain2/sito_modificato/ahp.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
aircraft-performance,/home/uc/Projects/calcdomain2/sito_modificato/aircraft-performance.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
aisc-bolted-connection,/home/uc/Projects/calcdomain2/sito_modificato/aisc-bolted-connection.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
alimony,/home/uc/Projects/calcdomain2/sito_modificato/alimony.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
angle-calculator,/home/uc/Projects/calcdomain2/sito_modificato/angle-calculator.html,WARN,MISSING_SOURCES,"Injected audit spine into article ; Missing sources (review needed)"
angle-converter,/home/uc/Projects/calcdomain2/sito_modificato/angle-converter.html,WARN,MISSING_SOURCES,"Injected audit spine into article ; Missing sources (review needed)"
angstrom-to-nm,/home/uc/Projects/calcdomain2/sito_modificato/angstrom-to-nm.html,WARN,MISSING_SOURCES,"Injected audit spine into article ; Missing sources (review needed)"
annuity-present-value,/home/uc/Projects/calcdomain2/sito_modificato/annuity-present-value.html,WARN,MISSING_SOURCES,"Injected audit spine into body ; Missing sources (review needed)"
annulus-area,/home/uc/Projects/calcdomain2/sito_modificato/annulus-area.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
ansoff-matrix,/home/uc/Projects/calcdomain2/sito_modificato/ansoff-matrix.html,WARN,MISSING_SOURCES,"Injected audit spine into body ; Missing sources (review needed)"
antenna-design,/home/uc/Projects/calcdomain2/sito_modificato/antenna-design.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
apache-ii-score,/home/uc/Projects/calcdomain2/sito_modificato/apache-ii-score.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
apft-score,/home/uc/Projects/calcdomain2/sito_modificato/apft-score.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
